,use_category,use_subcategory,skintype,brand,product,size,price,details,ingredients,ratings,perc_respondrec,total_reviews,link,page
0,treatments and serums,face serum,oily,Peter Thomas Roth,Instant FIRMx,Size 3.4 oz|,"Price
$48.00","The Ultimate Quick Fix! Instantly firm and smooth the appearance of age-revealing trouble spots with this temporary tightener. Simply apply, let dry, and splash away or pat away excess residue to help erase the appearance of forehead creases, ""11"" lines, crow's-feet, enlarged pores, and nasal-labial folds all day.

Temporarily tighten the appearance of your skin & rewind the clock - instantly! Revolutionary formula means that the white residue is splashed away or patted away, while active firming agents remain behind. These agents work beneath the skin's surface to help tighten, firm & smooth the appearance of fine lines, deep wrinkles & pores.

Key Ingredients & Benefits:
Vitamins C & E - Anti-oxidants help to fight free radical attack
Pro Vitamin B5 - Acts as a penetrating moisturizer and helps aid in tissue repair
Retinyl Palmitate - A form of Vitamin A that helps increase skin elasticity for younger-looking skin
Active Firming Agents - Work to help tighten, firm & smooth the appearance of fine lines, deep wrinkles & pores","Water (Aqua), Butylene Glycol, Glycerin, Sodium Silicate, Sodium Magnesium Fluorosilicate, Magnesium Aluminum Silicate, Urea, Diazolidinyl Urea, Symphytum Officinale Leaf Extract, Foeniculum Vulgare (Fennel) Seed Extract, Panthenol, Tocopheryl Acetate, Retinyl Palmitate, Ascorbyl Palmitate, Phospholipids, Chondrus Crispus (Carrageenan), Disodium EDTA, Phenoxyethanol, Methylparaben, Propylparaben, Ethylparaben, Butylparaben, Isobutylparaben.",3.3,,269 Reviews,https://www.ulta.com/instant-firmx?productId=xlsImpprod3030047,1
1,treatments and serums,face serum,oily,TONYMOLY,Vital Vita 12 Synergy Serum,Size 1.6 oz|,"Price
$33.00","TONYMOLY's highly concentrated Vital Vita 12 Synergy Serum is formulated to minimize fine lines and wrinkles, combat discoloration, as well as improve firmness and elasticity. The Vital Vita 12 collection features TONYMOLY's exclusive Vita-12 multi-vitamin compound which provides an all around solution for many common skin concerns. Using nanosome technology, 12 types of vitamins (A, B1, B3, B5, B6, B8, B12, C,E,F,H) are combined to create a highly effective multi-vitamin blend that targets a wide variety of skin concerns such elasticity, brightness, hydration and nourishment.

Key Ingredients:
12% Vita-12 Multi-Vitamin Compound
Squalane","Water Panthenol Dimethicone Cyclopentasiloxane Niacinamide Glycerin Butylene Glycol Cyclomethicone Hydrogenated Poly(C6-14 Olefin) C13-15 Alkane Dimethicone/Vinyl Dimethicone Crosspolymer Sodium Polyacrylate Cetyl Alcohol Glyceryl Stearate Hydroxyacetophenone Polysorbate 60 Dimethiconol Betaine Centella Asiatica Extract PEG-75 Stearate Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer Citrus Limon (Lemon) Fruit Oil Ethylhexylglycerin Squalane Portulaca Oleracea Extract 1,2-Hexanediol Adenosine Ceteth-20 PEG/PPG-18/18 Dimethicone Melia Azadirachta Leaf Extract Steareth-20 Trideceth-6 Xanthan Gum Melia Azadirachta Flower Extract PEG-20 Glyceryl Isostearate Pentylene Glycol Curcuma Longa (Turmeric) Root Extract Disodium EDTA Chamomilla Recutita (Matricaria) Flower Extract Vitex Agnus-Castus Extract Citrus Aurantium Bergamia (Bergamot) Fruit Oil Sodium Hyaluronate Cananga Odorata Flower Extract Arctium Lappa Root Extract Cymbopogon Schoenanthus Extract Phellinus Linteus Extract Hamamelis Virginiana (Witch Hazel) Extract Tocopheryl Acetate Octyldodecanol Olea Europaea (Olive) Fruit Oil Isopentyldiol Citrus Aurantium Dulcis (Orange) Peel Oil Diglycerin Propanediol PEG-35 Castor Oil Ocimum Sanctum Leaf Extract Sorbitan Isostearate Sodium Starch Octenylsuccinate Alcohol Calcium Pantothenate Aesculus Hippocastanum (Horse Chestnut) Seed Extract Maltodextrin Corallina Officinalis Extract Polyglyceryl-4 Oleate Sodium Ascorbyl Phosphate Lecithin Ceramide NP Copaifera Officinalis (Balsam Copaiba) Resin Cymbopogon Martini Oil Pyridoxine HCl Sucrose Palmitate Polysorbate 20 Pelargonium Graveolens Flower Oil Tocopherol Salvia Sclarea (Clary) Oil Citrus Nobilis (Mandarin Orange) Peel Oil Silica Retinyl Palmitate Linoleic Acid Inositol Biotin Glyceryl Arachidonate Glyceryl Linolenate Pyridoxine Folic Acid Thiamine HCl Cyanocobalamin.",5,,2 Reviews,https://www.ulta.com/vital-vita-12-synergy-serum?productId=pimprod2012951,1
2,treatments and serums,face serum,oily,Elizabeth Arden,PREVAGE Anti-Aging Daily Serum,Size 1.7 oz|,"Price
$162.00","PREVAGE Anti-aging Daily Serum protects and corrects the look of skin, helping shield it from environmental assaults and intercepting future aging signs to dramatically improve the look of sun-damaged skin. It's formulated with advanced Idebenone technology, the most powerful antioxidant available today*, which achieved an EPF rating of 95. (*For face products, environmental protection is against oxidative stress due to sun, smoke and pollution, with Idebenone compared to alpha lipoic acid, kinetin, vitamin C, vitamin E and coenzyme Q10.)
Advanced Idebenone technology creates a reserve within the skin to release protective and corrective benefits when and where skin needs it most.

PREVAGE Anti-aging Daily Serum addresses major skin care concerns with proven results:
94% of women saw a dramatic improvement in skin's overall appearance after just 4 weeks.**
74% of women saw a reduction in appearance of fine lines and wrinkles after eight weeks.**

In addition, PREVAGE Anti-aging Daily Serum achieved the following results in our latest clinical test***:
80% improvement in radiance and brightness.
70% improvement in skin tone.
69% improvement in the look of photo-damaged skin.
69% improvement in skin's overall appearance.
With continued use, skin's natural look of resilience is fortified, allowing skin to help fight the effects of environmental aggression. For best results, use it morning and night as the first step of your PREVAGE regimen.

*When compared to alpha lipoic acid, kinetin, vitamin C, vitamin E and coenzyme Q10.  EPF and Environmental Protection Factor are certification marks and trademarks owned by Pharma Cosmetix Research, L.L.C.
**For face products, environmental protection is against oxidative stress due to sun, smoke and pollution, with Idebenone compared to alpha lipoic acid, kinetin, vitamin C, vitamin E and coenzyme Q10. EPF and Environmental Protection Factor are certification marks and trademarks owned by Pharma Cosmetix Research, L.L.C.
**Consumer test conducted on 102 women age 25-65 over 4 weeks.
***12 week clinical test conducted on over 32 women aged 26-64.","This item is not eligible for coupon discounts. See 
Opens in a new window
ulta.com/coupons for details.",4.4,,132 Reviews,https://www.ulta.com/prevage-anti-aging-daily-serum?productId=xlsImpprod1930151,1
3,treatments and serums,face serum,oily,No7,Protect & Perfect Intense Advanced Serum,Size 1.0 oz|,"Price
$29.99","From No7, America's #1 Serum brand*. Keep skin looking younger for longer with this clinically proven anti-wrinkle, anti-aging Protect & Perfect Intense Advanced Serum. A supercharged combination of antioxidants and peptides work together to reduce the appearance of fine lines and wrinkles while boosting moisture and protecting skin from external stressors.

Key Ingredients:
Moisture-Rich Hyaluronic Acid
Matrixyl 3000+ - No7's anti-wrinkle peptide technology
Rice Protein & Alfalfa Complex
Benefits:
Clinically proven, results-driven formula
Visibly reduces the appearance of lines & wrinkles
Protects skin from environmental stressors and future signs of aging
Anti-wrinkle results that get even better over time
Replenishes moisture to help firm skin
Suitable for sensitive skin
Good Housekeeping Seal Winner
Among women who tried the product:
After 2 weeks, younger looking skin was revealed**
After 4 weeks, fine lines and wrinkles appeared visibly reduced**
80% said this serum provided the best ever anti-ageing results they had ever seen***
*Based on IRI data for dollar sales in food, drug, mass & major discount retailers at latest 52 wks. ending 3.30.19.
**Consumer testing of No7 Protect & Perfect Intense Advanced Serum.
***Consumer perception test after 8 weeks use.","Dimethicone, Aqua (Water), Glycerin, Dimethicone Crosspolymer, Butylene Glycol, Sodium Ascorbyl Phosphate, PEG/PPG-18/18 Dimethicone, Magnesium Sulfate, Phenoxyethanol, Cetyl PEG/PPG-10/1 Dimethicone, Polyglyceryl-4 Isostearate, Hexyl Laurate, Retinyl Palmitate, Hydrolyzed Rice Protein, Propylene Glycol, Tocopheryl Acetate, Sorbitan Laurate, Sodium Hyaluronate, Methylparaben, Carbomer, Ethylparaben, Medicago Sativa (Alfalfa) Extract, Polysorbate 20, Hydroxyethylcellulose, Panax Ginseng Root Extract, Morus Alba Leaf Extract, Sodium Benzoate, Acetyl Dipeptide-1 Cetyl Ester, Tocopherol, Ethylhexylglycerin, Palmitoyl Oligopeptide, Palmitoyl Tetrapeptide-7.",4.6,,1027 Reviews,https://www.ulta.com/protect-perfect-intense-advanced-serum?productId=xlsImpprod11481103,1
4,treatments and serums,face serum,oily,Pacifica,Pineapple Quench Oil-Free Water Serum,Size 1.7 oz|,"Price
$14.00",Oily skin needs moisture too! Pacifica's Pineapple Quench Oil-Free Water Serum is a daily use serum that helps provide a burst of needed hydration. A magical oil-free combo,"Aqua, Glycerin, Hydroxypropyl Starch Phosphate, Xanthan Gum, Aloe Barbadensis Leaf Juice, Sodium Hyaluronate, Sodium Citrate, Hypnea Musciformis (Algae) Extract, Macrocystis Pyrifera Extract, Spirulina Platernsis Extract, Camellia Sinensis (Green Tea) Extract, Ananas Sativus (Pineapple) Fruit Extract, Calendula Officinalis Flower Extract, Crambe Maritima (Kale) Leaf Extract, Phenoxyethanol, Ethylhexylglycerin, Parfum (Natural).",4,,79 Reviews,https://www.ulta.com/pineapple-quench-oil-free-water-serum?productId=pimprod2000480,1
5,treatments and serums,face serum,oily,Estée Lauder,Perfectionist Pro Rapid Brightening Treatment with Ferment2 + Vitamin C,1.7 oz,"Price
$110.00","Dark spots. Sun spots. Age spots. Acne marks. The future looks bright: this ultra-lightweight, ultra-hydrating serum reveals a more even-toned, radiant look. With its exclusive complex of brightening actives, including potent 98.8% naturally derived Ferments plus Vitamin C, Estée Lauder's Perfectionist Pro Rapid Brightening Treatment helps BREAK the cycle of dullness, helps BLOCK the appearance of future dark spots with powerful anti-oxidants and helps BOOST an undeniable clarity and inner light.

For all ethnicities and skintones. Inspired by professional treatments, it rapidly brightens the look of skin, and targets the appearance of multiple types of spots and uneven skintone. Anti-oxidants help protect against environmental damage and the formation of new skin discolorations.The fast-absorbing formula of the Rapid Brightening Treatment helps smooth skin's texture and enhance the natural radiance of your glowing skin. With anti-irritants and a super-dose of Hyaluronic Acid, this Ferment² + Vitamin C serum infuses skin with plumping, soothing, long-lasting moisture-delivers 48H hydration. Oil-free. Gentle on all skintypes.

Key Ingredients:
FERMENT²: A powerful double-ferment combining a high concentration of our exclusive Yeast Ferment with a spot-targeting Molasses Ferment. Both ferments work to help reduce the appearance of dark spots and improve clarity for glowing skin. Estée Lauder scientists are experts in fermentation, a process that concentrates and amplifies an ingredient.
VITAMIN C: A renowned brightening, anti-aging and all-around skin-boosting active. In this Ferment² + Vitamin C serum, it targets dark spots in the deepest layer of skin's surface to help reduce the look of skin discolorations. And with its anti-oxidant properties, it helps prevent the appearance of new spots and skin discolorations.


Clinical results:
1 WEEK: 87% of women said their skin looked brighter with renewed clarity.*
1 BOTTLE**: See a significant reduction in the look of:
Dark spots
Sun spots
Age spots
Acne marks
85% said their skin looked more even-toned.*


*Consumer test on 280 women.**1.7 oz bottle.","Water\Aqua\Eau, Butylene Glycol, Glycerin, Glycereth-26, Isononyl Isononanoate, Dimethicone, Propanediol, Ascorbyl Glucoside, Algae Extract, Sucrose, Acetyl Glucosamine, Hydroxyethyl Urea, Lens Esculenta (Lentil) Fruit Extract, Citrullus Lanatus (Watermelon) Fruit Extract, Pyrus Malus (Apple) Fruit Extract, Molasses Extract\Saccharum Officinarum\Extrait De Melasse, Myrtus Communis Leaf Extract, Avena Sativa (Oat) Kernel Extract, Triticum Vulgare (Wheat) Germ Extract, Hordeum Vulgare (Barley) Extract\Extrait D'Orge, Cladosiphon Okamuranus Extract, Salicylic Acid, Hydrolyzed Prunus Domestica, Caffeine, Sodium Lactate, Dipotassium Glycyrrhizate, Squalane, Oryzanol, Resveratrol, Sodium Hyaluronate, Sodium Pca, Ethylhexylglycerin, Bis-Peg-18 Methyl Ether Dimethyl Silane, Tocopheryl Acetate, Peg-75, Oleth-3 Phosphate, Sorbitol, Caprylyl Glycol, Oleth-3, Sodium Polyaspartate, Oleth-5, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Propylene Glycol Caprylate, Dextrin, Yeast Extract\Faex\Extrait De Levure, Choleth-24, Carbomer, Sodium Hydroxide, Ceteth-24, Xanthan Gum, Fragrance (Parfum), Glyceryl Acrylate/Acrylic Acid Copolymer, Citric Acid, Sodium Citrate, Disodium Edta, Bht, Potassium Sorbate, Sodium Benzoate, Phenoxyethanol. Please be aware that ingredient lists may change or vary from time to time. Please refer to the ingredient list on the product package you receive for the most up to date list of ingredients.",4.6,,801 Reviews,https://www.ulta.com/perfectionist-pro-rapid-brightening-treatment-with-ferment2-vitamin-c?productId=pimprod2013261,1
6,treatments and serums,face serum,oily,The Ordinary,100% Plant-Derived Squalane,Size 1.0 oz|,"Price
$7.90","100% Plant-Derived Squalane from The Ordinary is an exceptional hydrator and can prevent ongoing loss of hydration that impairs dermal suppleness. Squalane is non-comedogenic and is suitable for use on all skin types. It can also be applied to hair to increase heat protection, add shine and reduce breakage potential.

Benefits:
Replenish lost moisture, maintain healthy-looking skin, and provide enhanced barrier support
Cruelty-free & Vegan
Does not contain alcohol, gluten, nuts, oil, silicone, parabens, sulfates","100% Pure Plant-derived Squalane*.

*ECOCERT approved & USDA certified bio-based product.",4.5,,192 Reviews,https://www.ulta.com/100-plant-derived-squalane?productId=pimprod2007112,1
7,treatments and serums,face serum,oily,Clinique,Fresh Pressed Clinical Daily + Overnight Boosters with Pure Vitamins C 10% + A (Retinol),2 ct,"Price
$79.00","Clinique's freshest, most potent day-and-night de-aging booster system. Together, they deliver results equal to a leading prescription for lines and wrinkles.*

Turns your moisturizer into a de-aging powerhouse. Clinique's breakthrough Fresh Pressed Clinical Daily + Overnight Boosters with Pure Vitamins C 10% + A (Retinol) are freshly activated to deliver prescription-level results against visible wrinkles.* Simply mix a few pumps with your favorite Clinique moisturizer-Vitamin C in the morning, Vitamin A at night. Enjoy a potent de-aging boost without changing the moisturizer you love.

Every day, Vitamin C 10% works on skin's surface to instantly brighten. See remarkably even-toned and retexturized skin with continued use.

Every night, Vitamin A (Retinol) penetrates deeply into skin's surface. Over time, skin appears revitalized, lines and wrinkles 're-filled,' youthful tone recaptured.

Key Ingredients / Technology:

Clinique's guiding dermatologist recommends using topical Vitamins C & A together for their synergistic power. Fresh is key-they naturally degrade when exposed to oxygen and lose their effectiveness. Clinique's exclusive stay-fresh packaging protects their full potency until activation for maximum results.
Pure Vitamin C 10% powder concentrate is sealed in an airproof chamber
Pure Vitamin A (Retinol) liquid concentrate is encapsulated in a double-walled chamber

Activating the package releases the Pure Vitamin into the vial's de-aging soothing emulsion, which is bursting with powerful revitalizing ingredients. Once activated, each Booster is at maximum potency for 7 days/nights, but can be used up to 14 days/nights.

Vitamin A (Retinol) is so powerful that it actively transforms skin. You may experience a little dryness, redness or peeling during the first few weeks of use-all common indications that Vitamin A is working. To smooth your skin's transition to a nightly Vitamin A (Retinol) routine, Clinique recommends using a daily moisturizer and an extra gentle, sulfate-free cleanser. And be sure to wear sunscreen every day since your skin may be more photosensitive.

Allergy tested. 100% Fragrance free. No parabens. No phthalates. Just happy skin. Non-acnegenic. For all skin types.

*Proven Results: Based on a 12-week clinical study using Vitamin C 10% in AM and Vitamin A (Retinol) in PM, vs. nighttime use of a leading prescription ingredient:
First AM use: Radiance instantly boosted
In 1 week: Smoothness and texture improved
In 4 weeks: Fine facial wrinkles visibly reduced
In 12 weeks: Skin tone is more even & deep-set wrinkles and forehead lines dramatically reduced

Includes:
Fresh Pressed Daily Booster with Pure Vitamin C 10% (0.28 oz each)
Fresh Pressed Overnight Booster with Pure Vitamin A (Retinol) (0.23 oz each)","Fresh Pressed Daily Booster with Pure Vitamin C 10%: Water\Aqua\Eau, Ascorbic Acid, Glycerin, Dimethicone, Squalane, Butylene Glycol, Dipropylene Glycol, Acetyl Glucosamine, Cucumis Sativus (Cucumber) Fruit Extract, Hordeum Vulgare (Barley) Extract\Extrait D'Orge, Morus Nigra (Mulberry) Root Extract, Molasses Extract\Saccharum Officinarum\Extrait De Mélasse, Laminaria Digitata Extract, Scutellaria Baicalensis Root Extract, Acetyl Hexapeptide-8, Vitis Vinifera (Grape) Fruit Extract, Algae Extract, Palmitoyl Hexapeptide-12, Palmitoyl Tripeptide-1, Palmitoyl Tetrapeptide-7, Alcaligenes Polysaccharides, Caffeine, Sucrose, Whey Protein\Lactis Protein\Protéine Du Petit-Lait, Betaine, Salicylic Acid, Glycine Soja (Soybean) Protein, Sodium Hyaluronate, Caprylyl Glycol, Sigesbeckia Orientalis (St. Paul's Wort) Extract, Bis-PEG-18 Methyl Ether Dimethyl Silane, Propylene Glycol Dicaprate, Helianthus Annuus (Sunflower) Seedcake, Allyl Methacrylates Crosspolymer, Carbomer, Glyceryl Polymethacrylate, Tromethamine, Xanthan Gum, Potassium Sorbate, PEG-8, Polysorbate 20, Sodium Citrate, Disodium EDTA, Phenoxyethanol.

Fresh Pressed Overnight Booster with Pure Vitamin A (Retinol): Water\Aqua\Eau, Polysorbate 20, Dimethicone, Glycine Soja (Soybean) Oil, Butylene Glycol, Vinyl Dimethicone/Methicone Silsesquioxane Crosspolymer, Methyl Trimethicone, BIS-PEG-18 Methyl Ether Dimethyl Silane, Lauryl PEG-9 Polydimethylsiloxyethyl Dimethicone, Glycerin, Polysilicone-11, Methyl Gluceth-20, Retinol, Salicylic Acid, Oenothera Biennis (Evening Primrose) Flower Extract, Laminaria Saccharina Extract, Gellidiella Acerosa Extract, Cholesterol, Salvia Sclarea (Clary) Extract, Caffeine, Sigesbeckia Orientalis (St. Paul's Wort) Extract, Aminopropyl Ascorbyl Phosphate, Plankton Extract, Palmitoyl Hexapeptide-12, Glycine Soja (Soybean) Seed Extract, Micrococcus Lysate, Hypnea Musciformis (Algae) Extract, Acetyl Hexapeptide-8, Glycine Soja (Soybean) Protein, Tocopheryl Acetate, Whey Protein\Lactis Protein\Protéine Du Petit-Lait, Sodium Hyaluronate, Acetyl Glucosamine, Caprylyl Glycol, Carbomer, Glyceryl Polymethacrylate, Sodium Hydroxide, PEG-8, Xanthan Gum, Calcium Chloride, Ammonium Acryloyldimethyltaurate/VP Copolymer, Lecithin, Sodium Citrate, Disodium EDTA, BHT, Sodium Benzoate, Phenoxyethanol.",3.7,,92 Reviews,https://www.ulta.com/fresh-pressed-clinical-daily-overnight-boosters-with-pure-vitamins-c-10-a-retinol?productId=pimprod2004177,1
8,treatments and serums,face serum,oily,Neutrogena,Healthy Skin Radiant Primer + Serum,Size 1.0 oz|,"Price
$17.99","Recharge your complexion with the two-in-one Neutrogena Healthy Skin Radiant Primer + Serum. This face serum and primer hybrid comes infused with peptides and pearl pigments, formulated to nourish and even out the look of your skin's tone and texture. Bridge the gap from skincare to makeup, and use this priming serum to prepare your skin, leaving a radiant surface for makeup application. You can also use it alone as a serum to enhance your skin with its Radiant boosting effects.

Benefits:
Healthy skin face serum & primer hybrid
Designed to make skin look more radiant
Formulated with peptides and pearl pigments","Water, Glycerin, Butylene Glycol, Squalane, Pentylene Glycol, Butylene Glycol Dicaprylate/ Dicaprate, Phenoxyethanol, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Synthetic Fluorphlogopite, Polysorbate 20, Tromethamine, Tocopheryl Acetate, Glyceryl Polymethacrylate, Xanthan Gum, Propylene Glycol, Theobroma Cacao (Cocoa) Extract, Triethoxycaprylylsilane, Palmitoyl Tripeptide-1, Titanium Dioxide, Iron Oxides, Yellow 6.",4.3,,149 Reviews,https://www.ulta.com/healthy-skin-radiant-primer-serum?productId=pimprod2017018,1
9,treatments and serums,face serum,oily,Tarte,Maracuja Oil,Size 1.7 oz|,"Price
$48.00","Tarte Maracuja Oil is a vegan, multitasking skincare powerhouse from #flowerpowered maracuja seeds that promotes firmer, brighter & smoother looking skin. This #flowerpowered face oil is the ultimate multitasker, and basically magic in a bottle! Try incorporating it anywhere your beauty routine needs a little more moisture.

Benefits:
Helps balance & nourish all skin types - even oily & blemish-prone
Absorbs quickly & never feels greasy
Cold-pressed oil is naturally packed with vitamin C & essential fatty acids to help boost radiance

Always formulated without:
Parabens
Mineral Oil
Phthalates
Triclosan
Sodium Lauryl Sulfate
Gluten

Powered By:
Maracuja Oil: Rich in essential fatty acids and vitamin C for firmer, brighter, smoother looking skin

Tartelette Approved:
Vegan
Hypoallergenic
Dermatologist tested
Cruelty free

Consumer Panel Results*:
96% saw an overall noticeable improvement in skin
91% saw a reduction in fine lines and wrinkles
94% saw an improvement in skin texture, and thought skin appeared renewed and rejuvenated

*Based on a consumer use study of 53 women over 6 weeks","Passiflora Edulis Seed Oil, Tocopherol.",4.5,,1151 Reviews,https://www.ulta.com/maracuja-oil?productId=xlsImpprod4490053,1
